	SRA	newname
243		smartseq_BladderTissue_bladder_cell_243
244		smartseq_BladderTissue_bladder_cell_244
245	SRR6520652	smartseq_BladderTissue_bladder_cell_245
246	SRR6521719	smartseq_BladderTissue_bladder_urothelial_cell_246
247	SRR6521569	smartseq_BladderTissue_bladder_cell_247
248		smartseq_BladderTissue_bladder_cell_248
249		smartseq_BladderTissue_bladder_cell_249
250	SRR6520654	smartseq_BladderTissue_bladder_cell_250
251	SRR6521741	smartseq_BladderTissue_bladder_urothelial_cell_251
252	SRR6519609	smartseq_BladderTissue_bladder_cell_252
253		smartseq_BladderTissue_bladder_cell_253
254		smartseq_BladderTissue_bladder_cell_254
255	SRR6520657	smartseq_BladderTissue_bladder_cell_255
256	SRR6521763	smartseq_BladderTissue_bladder_urothelial_cell_256
257	SRR6519612	smartseq_BladderTissue_bladder_cell_257
258		smartseq_BladderTissue_bladder_cell_258
259		smartseq_BladderTissue_bladder_cell_259
260	SRR6521786	smartseq_BladderTissue_bladder_urothelial_cell_260
261	SRR6519614	smartseq_BladderTissue_bladder_urothelial_cell_261
262		smartseq_BladderTissue_bladder_cell_262
263		smartseq_BladderTissue_bladder_cell_263
264	SRR6520659	smartseq_BladderTissue_bladder_urothelial_cell_264
265	SRR6521808	smartseq_BladderTissue_bladder_urothelial_cell_265
266	SRR6519616	smartseq_BladderTissue_bladder_urothelial_cell_266
267		smartseq_BladderTissue_bladder_cell_267
268		smartseq_BladderTissue_bladder_cell_268
269	SRR6520661	smartseq_BladderTissue_bladder_urothelial_cell_269
270	SRR6521874	smartseq_BladderTissue_bladder_cell_270
271	SRR6521609	smartseq_BladderTissue_bladder_cell_271
272		smartseq_BladderTissue_bladder_cell_272
273		smartseq_BladderTissue_bladder_cell_273
274	SRR6520690	smartseq_BladderTissue_bladder_cell_274
275	SRR6521985	smartseq_BladderTissue_bladder_urothelial_cell_275
276	SRR6521628	smartseq_BladderTissue_bladder_urothelial_cell_276
277	SRR6519635	smartseq_BladderTissue_bladder_urothelial_cell_277
278		smartseq_BladderTissue_bladder_cell_278
279		smartseq_BladderTissue_bladder_cell_279
280	SRR6520707	smartseq_BladderTissue_bladder_urothelial_cell_280
281	SRR6519637	smartseq_BladderTissue_bladder_urothelial_cell_281
282		smartseq_BladderTissue_bladder_cell_282
283	SRR6520709	smartseq_BladderTissue_bladder_urothelial_cell_283
284	SRR6522008	smartseq_BladderTissue_bladder_urothelial_cell_284
285	SRR6521633	smartseq_BladderTissue_bladder_urothelial_cell_285
286	SRR6519639	smartseq_BladderTissue_bladder_urothelial_cell_286
287		smartseq_BladderTissue_bladder_cell_287
288		smartseq_BladderTissue_bladder_cell_288
289	SRR6520712	smartseq_BladderTissue_bladder_urothelial_cell_289
290		smartseq_BladderTissue_bladder_cell_290
291		smartseq_BladderTissue_bladder_cell_291
292	SRR6520714	smartseq_BladderTissue_bladder_urothelial_cell_292
293		smartseq_BladderTissue_bladder_cell_293
294		smartseq_BladderTissue_bladder_cell_294
295	SRR6522030	smartseq_BladderTissue_bladder_cell_295
296		smartseq_BladderTissue_bladder_urothelial_cell_296
297	SRR6520716	smartseq_BladderTissue_bladder_urothelial_cell_297
298	SRR6522052	smartseq_BladderTissue_bladder_cell_298
299	SRR6519641	smartseq_BladderTissue_bladder_urothelial_cell_299
300		smartseq_BladderTissue_bladder_urothelial_cell_300
301		smartseq_BladderTissue_bladder_urothelial_cell_301
302	SRR6520718	smartseq_BladderTissue_bladder_urothelial_cell_302
303	SRR6519643	smartseq_BladderTissue_bladder_urothelial_cell_303
304		smartseq_BladderTissue_bladder_urothelial_cell_304
305		smartseq_BladderTissue_bladder_urothelial_cell_305
306	SRR6520720	smartseq_BladderTissue_bladder_urothelial_cell_306
307	SRR6521646	smartseq_BladderTissue_bladder_urothelial_cell_307
308		smartseq_BladderTissue_bladder_urothelial_cell_308
309		smartseq_BladderTissue_bladder_urothelial_cell_309
310	SRR6520723	smartseq_BladderTissue_bladder_urothelial_cell_310
311		smartseq_BladderTissue_bladder_urothelial_cell_311
312		smartseq_BladderTissue_bladder_urothelial_cell_312
313	SRR6520725	smartseq_BladderTissue_bladder_urothelial_cell_313
314	SRR6521897	smartseq_BladderTissue_bladder_cell_314
315	SRR6519626	smartseq_BladderTissue_bladder_cell_315
316		smartseq_BladderTissue_bladder_cell_316
317		smartseq_BladderTissue_bladder_cell_317
318	SRR6520692	smartseq_BladderTissue_bladder_cell_318
319		smartseq_BladderTissue_bladder_urothelial_cell_319
320		smartseq_BladderTissue_bladder_urothelial_cell_320
321	SRR6520727	smartseq_BladderTissue_bladder_urothelial_cell_321
322	SRR6521653	smartseq_BladderTissue_bladder_urothelial_cell_322
323		smartseq_BladderTissue_bladder_urothelial_cell_323
324		smartseq_BladderTissue_bladder_urothelial_cell_324
325	SRR6520729	smartseq_BladderTissue_bladder_urothelial_cell_325
326		smartseq_BladderTissue_bladder_urothelial_cell_326
327		smartseq_BladderTissue_bladder_urothelial_cell_327
328	SRR6520731	smartseq_BladderTissue_bladder_urothelial_cell_328
329	SRR6521919	smartseq_BladderTissue_bladder_cell_329
330	SRR6521613	smartseq_BladderTissue_bladder_cell_330
331		smartseq_BladderTissue_bladder_cell_331
332		smartseq_BladderTissue_bladder_cell_332
